puzzle_id,type
1,path
2,counting
3,counting
4,counting
5,counting
6,math
7,algebra
8,counting
9,algebra
10,algebra
11,math
12,algebra
13,counting
14,counting
15,algebra
16,path
17,spatial
18,order
19,path
20,measure
21,measure
22,measure
23,counting
24,counting
25,measure
26,measure
27,algebra
28,algebra
29,counting
30,math
31,math
32,path
33,counting
34,counting
35,path
36,counting
37,path
38,math
39,path
40,logic
41,counting
42,counting
43,math
44,spatial
45,counting
46,math
47,algebra
48,path
49,algebra
50,counting
51,order
52,counting
53,counting
54,path
55,spatial
56,logic
57,counting
58,math
59,math
60,counting
61,algebra
62,logic
63,algebra
64,logic
65,path
66,path
67,math
68,spatial
69,spatial
70,spatial
71,math
72,algebra
73,path
74,logic
75,spatial
76,algebra
77,pattern
78,pattern
79,counting
80,counting
81,logic
82,order
83,pattern
84,pattern
85,algebra
86,pattern
87,logic
88,math
89,counting
90,math
91,logic
92,measure
93,measure
94,measure
95,spatial
96,spatial
97,counting
98,math
99,counting
100,logic
101,algebra
